拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/12/10,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2015.07,1991,汽油,黑,2WD,4,B,C,207146 KM,保證,502000,0,0,0
2025/12/10,詳見網頁版,BENZ C300,C300,轎式娛樂顯示LED頭燈,手自,2015.01,1991,汽油,白,4WD,4,A,C,203387 KM,保證,581000,0,0,0
2025/12/10,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2015.05,1991,汽油,白,4WD,4,A,C,119253 KM,保證,618000,0,0,0
2025/12/12,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.05,1991,汽油,黑,4WD,4,A,C,95431 KM,不保證,640000,0,0,0
2025/12/12,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2018.02,1991,汽油,黑,2WD,4,A,B,166441 KM,保證,640000,0,0,0
2025/12/12,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.03,1991,汽油,黑,4WD,4,A,C,142087 KM,保證,458000,0,0,0
2025/12/17,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2016.04,1991,汽油,黑,2WD,4,A,B,87767 KM,保證,712000,0,0,0
2025/12/17,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2020.03,1991,汽油,白,4WD,4,A+,B,79246 KM,保證,1050000,0,0,0
2025/12/17,詳見網頁版,BENZ C300,C300,旅行式LED頭燈,手自,2018.08,1991,汽油,黑,2WD,5,A,C,85757 KM,保證,853000,0,0,0
2025/12/19,詳見網頁版,BENZ C250,C250,轎式LED頭燈,手自,2016.07,1991,汽油,灰,2WD,2,A,B,233652 KM,保證,480000,0,0,0
2025/12/24,詳見網頁版,BENZ C300,C300,轎式LED頭燈,手自,2015.05,1991,汽油,白,2WD,4,N,C,9999999 KM,不保證,411000,11230,6180,0
2025/12/24,詳見網頁版,BENZ C300,C300 4MATIC,轎式娛樂顯示LED頭燈,手自,2016.06,1991,汽油,白,4WD,4,N,C,9999999 KM,不保證,485000,0,6180,0
2025/12/24,詳見網頁版,BENZ C300,C300,轎式LED頭燈,手自,2015.07,1991,汽油,黑,2WD,4,N,C,9999999 KM,不保證,259000,1630,4738,42202
2025/12/24,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2017.02,1991,汽油,黑,2WD,4,A,C,223259 KM,保證,540000,0,0,0
2025/12/24,詳見網頁版,BENZ C300,C300,轎式,手自,2015.02,1991,汽油,黑,2WD,4,A,C,125182 KM,保證,383000,0,0,0
2025/12/24,詳見網頁版,BENZ C200,C200,旅行式LED頭燈置放架,手自,2017.10,1991,汽油,灰黑,2WD,5,B+,B,102900 KM,保證,617000,0,0,0
2025/12/24,詳見網頁版,BENZ C250,C250,轎式LED頭燈,手自,2016.01,1991,汽油,灰,2WD,2,A,C,103501 KM,保證,650000,0,0,0
2025/12/26,詳見網頁版,BENZ C200,C200,轎式LED頭燈,手自,2017.10,1991,汽油,灰,2WD,4,A,B,102731 KM,保證,491000,0,0,0
2025/12/31,詳見網頁版,BENZ C300,C300 4MATIC,轎式LED頭燈娛樂顯示,手自,2016.03,1991,汽油,白,4WD,2,B,C,102474 KM,不保證,696000,11230,6180,0
2025/12/31,詳見網頁版,BENZ C300,C300 4MATIC,轎式,手自,2015.01,1991,汽油,白,4WD,4,A,B,30519 KM,保證,566000,0,0,0
2026/01/02,詳見網頁版,BENZ C300,C300,轎式LED頭燈娛樂顯示,手自,2015.06,1991,汽油,白,2WD,4,A,C,84293 KM,不保證,562000,29384,16736,7900
2026/01/02,詳見網頁版,BENZ C300,C300,轎式,手自,2015.11,1991,汽油,黑,2WD,4,B,C,154636 KM,保證,350000,0,0,0
