拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/28,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.06,1498,汽油,深灰,2WD,5,A,B,40074 KM,不保證,611000,7120,4800,0
2025/11/28,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2020.11,1498,汽油,黑,2WD,5,B+,B,104312 KM,保證,514000,0,0,0
2025/11/28,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,白,2WD,5,A,B,80945 KM,保證,601000,0,0,0
2025/11/28,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,白,2WD,5,A,B,164949 KM,保證,493000,0,9600,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2018.06,1498,汽油,黑,2WD,5,B+,B,112349 KM,不保證,440000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2018.05,1498,汽油,白,2WD,5,A,C,107969 KM,不保證,402000,10611,7172,2100
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.01,1498,汽油,白,2WD,5,B+,B,105210 KM,不保證,501000,7120,4800,2400
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2017.07,1498,汽油,深灰,2WD,5,A,B,110595 KM,保證,426000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2019.03,1498,汽油,白,2WD,5,A,B,134533 KM,保證,458000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2021.01,1498,汽油,白,2WD,5,A,B,80561 KM,保證,580000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,深灰,2WD,5,A,B,29950 KM,保證,639000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.05,1498,汽油,白,2WD,5,A,C,73662 KM,保證,621000,0,0,0
2025/12/03,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,白,2WD,5,A,B,97952 KM,保證,609000,0,0,0
2025/12/05,詳見網頁版,HONDA CR-V,CR-V 1.5S,旅行式娛樂顯示LED頭燈,手自,2019.01,1498,汽油,深綠,2WD,5,A,B,83390 KM,保證,503000,0,0,0
2025/12/05,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2019.09,1498,汽油,白,2WD,5,A,B,127898 KM,保證,507000,0,0,0
2025/12/05,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2018.07,1498,汽油,白,2WD,5,B+,B,164885 KM,保證,410000,0,0,0
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 1.5S,旅行式娛樂顯示LED頭燈,手自,2020.12,1498,汽油,深綠,2WD,5,A,B,93184 KM,保證,535000,0,0,0
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,黑,2WD,5,A,B,40755 KM,保證,641000,0,0,0
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,白,2WD,5,A,B,36756 KM,保證,706000,0,0,0
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 1.5 VTI-S,旅行式娛樂顯示LED頭燈,手自,2022.11,1498,汽油,黑,2WD,5,A,B,141898 KM,保證,493000,0,0,0
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 1.5 S,旅行式娛樂顯示LED頭燈,手自,2021.11,1498,汽油,白,2WD,5,A,B,114330 KM,保證,569000,0,0,0
